"","chain","co_owned","empft","firstinc","hrsopen","inctime","meals","state","emptot","treated","time","observation","pct_fte","wage_st"
"1","wendys","yes",20,0.1,12,26,"reduced price meals","Pennsylvania",34,0,0,"February 1992",58.8235294117647,5
"2","wendys","yes",6,0.15,12,52,"both free and reduced price meals","Pennsylvania",24,0,0,"February 1992",25,5.5
"3","wendys","yes",0,0.07,12,26,"reduced price meals","Pennsylvania",20.5,0,0,"February 1992",0,5
"4","bk","no",50,0.1,18,26,"reduced price meals","Pennsylvania",70.5,0,0,"February 1992",70.9219858156028,5
"5","bk","no",10,0.25,24,52,"reduced price meals","Pennsylvania",23.5,0,0,"February 1992",42.5531914893617,5
"6","kfc","yes",2,0.25,10,13,"free meals","Pennsylvania",11,0,0,"February 1992",18.1818181818182,5.25
"7","kfc","yes",2,0.15,10,19,"free meals","Pennsylvania",9,0,0,"February 1992",22.2222222222222,5
"8","roys","yes",2.5,0.37,12.5,13,"reduced price meals","Pennsylvania",15.5,0,0,"February 1992",16.1290322580645,5
"9","bk","no",40,0.17,18,13,"reduced price meals","Pennsylvania",58,0,0,"February 1992",68.9655172413793,5
"10","bk","no",8,0.25,18,39,"reduced price meals","Pennsylvania",26.5,0,0,"February 1992",30.188679245283,5
"11","bk","no",6,0.37,12.5,26,"reduced price meals","Pennsylvania",13.5,0,0,"February 1992",44.4444444444444,5
"12","kfc","yes",5,0.25,10,26,"both free and reduced price meals","Pennsylvania",16.75,0,0,"February 1992",29.8507462686567,5.25
"13","kfc","yes",1,0.07,10,13,"reduced price meals","Pennsylvania",9.5,0,0,"February 1992",10.5263157894737,5
"14","roys","yes",10,0.17,11.5,13,"reduced price meals","Pennsylvania",15,0,0,"February 1992",66.6666666666667,5
"15","roys","no",20,0.25,16,13,"reduced price meals","Pennsylvania",29.5,0,0,"February 1992",67.7966101694915,5
"16","roys","no",5,0.37,14,13,"reduced price meals","Pennsylvania",18.5,0,0,"February 1992",27.027027027027,5
"17","roys","yes",10,0.12,16,13,"reduced price meals","Pennsylvania",20.25,0,0,"February 1992",49.3827160493827,5
"18","roys","yes",27,0.25,16,26,"reduced price meals","Pennsylvania",36,0,0,"February 1992",75,5
"19","roys","no",4,0.25,15,26,"reduced price meals","Pennsylvania",21,0,0,"February 1992",19.047619047619,5
"20","roys","yes",10,0.17,16,13,"reduced price meals","Pennsylvania",20.5,0,0,"February 1992",48.780487804878,5
"21","wendys","yes",0,0.07,12,26,"reduced price meals","Pennsylvania",19,0,0,"February 1992",0,5
"22","roys","yes",3,0.25,16,13,"reduced price meals","Pennsylvania",14,0,0,"February 1992",21.4285714285714,5
"23","roys","yes",7,0.2,16,13,"reduced price meals","Pennsylvania",19,0,0,"February 1992",36.8421052631579,5
"24","bk","no",21,0.25,16.5,4,"reduced price meals","Pennsylvania",32.5,0,0,"February 1992",64.6153846153846,4.25
"25","bk","no",10,0.15,16.5,4,"reduced price meals","Pennsylvania",27,0,0,"February 1992",37.037037037037,4.25
"26","bk","no",0,0.2,16.5,18,"reduced price meals","Pennsylvania",19.5,0,0,"February 1992",0,4.25
"27","bk","no",0,0.25,16,2,"reduced price meals","Pennsylvania",18,0,0,"February 1992",0,4.25
"28","bk","no",6,0.2,14,13,"both free and reduced price meals","Pennsylvania",19,0,0,"February 1992",31.5789473684211,4.25
"29","wendys","yes",30,0.07,12,26,"reduced price meals","Pennsylvania",38,0,0,"February 1992",78.9473684210526,4.67
"30","wendys","yes",8,0.15,12,26,"reduced price meals","Pennsylvania",23.5,0,0,"February 1992",34.0425531914894,4.75
